Student,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6
S139,4,4,4,3,4,3
S140,3,3,1,3,2,2
S141,4,4,4,4,2,3
S142,3,2,1,2,3,1
S143,2,3,3,2,3,3
S144,4,4,4,4,4,4
S145,3,3,2,3,3,1
S146,1,2,1,2,2,2
S147,4,4,3,1,2,2
S148,2,2,3,1,2,3
S149,4,3,4,3,2,3
S150,1,3,4,4,3,2
S151,1,1,2,2,2,1
S152,3,3,3,4,4,3
S153,4,3,4,1,2,3
S154,2,2,4,2,3,2
S155,1,1,3,3,3,1
S156,3,3,3,3,2,1
S157,2,1,1,1,2,1
S158,1,2,2,4,3,2
S159,2,2,2,1,1,2
S160,1,1,1,3,1,1
S161,3,1,2,3,1,2
S162,2,2,2,1,2,1
S163,1,2,1,3,1,2
S164,4,4,3,4,2,4
S165,2,3,3,3,1,1
S166,3,2,4,2,2,3
S167,3,3,2,4,4,3
S168,1,2,2,4,4,3
S169,2,2,4,1,3,3
S170,3,4,4,2,1,3
S171,2,2,2,1,2,2
S172,3,2,4,4,3,3
S173,3,3,3,2,3,3
S174,3,2,4,2,2,1
S175,2,3,3,3,3,3
S176,1,3,3,4,4,3
S177,3,3,3,2,4,4
S178,2,3,2,1,1,1
S179,4,4,4,4,4,4
S180,2,2,3,2,1,4
S181,3,3,3,2,3,3
S182,1,2,3,2,1,2
S183,2,3,2,3,2,3
S184,3,3,3,3,3,3
S185,2,3,3,3,3,2
S186,2,1,1,1,1,2
S187,2,2,2,1,3,3
S188,2,3,3,2,1,2
S189,3,3,3,3,3,3
S190,1,1,1,1,1,1
S191,4,4,4,2,3,3
S192,2,3,3,2,2,2
S193,1,2,3,3,3,2
S194,4,4,3,4,4,4
S195,3,3,4,3,4,4
S196,3,2,3,2,3,1
S197,3,2,3,3,2,1
S198,4,4,2,2,2,2
S199,3,3,3,3,3,3
S200,1,1,1,2,1,2
S201,2,2,2,4,2,3
S202,3,3,3,2,2,3
S203,4,4,4,3,4,4
S204,2,2,2,4,4,2
S205,4,2,2,2,4,4
S206,3,3,3,2,1,4
S207,1,2,2,2,1,4
S208,2,2,3,3,4,2
S209,4,4,4,4,4,4
S210,3,2,1,2,2,3
S211,4,4,3,4,4,3
S212,2,3,2,2,2,1
S213,3,3,3,1,1,1
S214,2,1,3,1,1,2
S215,1,4,1,3,4,2
S216,1,1,2,2,2,2
S217,2,3,3,2,2,3
S218,3,3,4,2,2,3
S219,1,2,3,2,3,2
S220,4,4,4,2,1,2
S221,2,3,3,2,2,3
S222,2,3,3,4,3,2
S223,2,3,1,4,2,3
S224,4,4,2,4,3,4
S225,2,2,4,1,1,3
S226,1,1,1,2,2,1
S227,1,2,1,2,1,2
S228,3,2,2,2,3,3
S229,1,4,3,2,4,3
S230,3,3,2,2,4,2
S231,2,3,4,2,2,2
S232,2,3,3,3,4,2
S233,3,3,3,3,2,3
S234,4,4,4,4,4,4
S235,3,3,4,2,1,3
S236,4,4,3,3,2,3
S237,2,3,4,3,4,4
S238,2,3,3,1,3,1
S239,4,2,2,2,2,3
S240,4,4,4,4,3,3
S241,2,1,2,1,2,1
S242,2,2,2,2,2,2
S243,2,1,1,2,3,3
S244,2,2,2,2,1,2
S245,4,4,3,2,3,3
S246,4,3,3,2,1,2
S247,1,2,1,2,1,3
S248,3,3,2,3,2,2
S249,1,1,2,3,3,1
S250,2,2,3,1,1,1
S251,4,2,2,3,2,3
S252,2,2,4,1,2,2
S253,2,4,4,4,4,2
S254,3,4,2,3,2,3
S255,4,4,4,2,2,4
S256,3,2,3,3,1,3
S257,1,1,1,3,2,2
S258,3,3,3,2,3,3
S259,3,3,2,2,2,2
S260,4,4,3,4,4,4
S261,2,3,2,1,1,2
S262,3,4,2,3,2,3
S263,3,2,4,3,2,3
S264,3,4,2,4,2,2
S265,3,3,4,4,3,4
S266,4,2,4,3,3,2
S267,2,1,3,3,3,3
S268,2,4,4,2,2,2
S269,3,3,3,3,2,3
S270,2,2,2,2,2,3
S271,2,3,3,4,3,2
S272,3,1,2,3,2,3
S273,3,3,2,2,1,2
S274,4,4,4,4,3,4
S275,2,2,3,3,3,2
S276,3,2,3,3,2,3
S277,4,4,2,4,4,3
S278,3,2,3,3,1,2
S279,3,4,2,1,2,2
S280,3,3,4,2,2,2
S281,2,3,2,2,1,2
S282,1,3,2,2,2,2
S283,3,3,4,2,3,3
S284,3,3,2,3,2,2
S285,4,3,4,2,2,3
S286,2,1,2,2,4,2
S287,3,2,3,2,1,3
S288,1,1,3,3,2,1
S289,1,2,1,1,1,2
S290,4,2,3,2,2,3
S291,2,1,3,2,2,1
S292,1,1,2,2,1,1
S293,2,3,4,1,1,3
S294,2,1,2,1,2,2
S295,4,3,4,2,4,3
S296,3,3,3,1,1,2
S297,3,3,3,2,3,2
S298,2,3,3,3,4,2
S299,2,3,3,3,2,2
S300,3,2,2,1,1,3
S301,1,1,2,2,1,1
S302,4,3,4,3,4,4
S303,1,1,1,1,2,1
S304,3,4,3,4,4,4
S305,4,4,3,3,4,3
S306,3,3,3,2,2,2
S307,3,4,3,2,2,2
S308,3,3,4,3,2,3
S309,2,1,3,3,2,4
S310,1,2,1,2,1,2
S311,4,3,4,4,3,4
S312,2,2,3,2,3,2
S313,4,3,4,4,4,4
S314,2,1,3,3,1,2
S315,3,4,3,2,2,4
S316,1,1,2,1,1,3
S317,4,4,3,2,3,4
S318,2,2,2,2,2,2
S319,2,3,3,1,2,2
S320,2,4,4,3,2,4
S321,1,1,3,2,2,2
S322,3,4,3,3,3,4
S323,4,4,3,4,4,3
S324,1,3,2,3,3,3
S325,2,3,2,2,2,2
S326,2,1,1,2,1,1
S327,2,1,1,2,1,1
S328,3,2,3,3,2,4
S329,2,4,4,3,4,4
S330,4,4,4,2,3,3
S331,2,2,1,1,3,2
S332,2,3,3,1,2,3
S333,3,4,4,4,3,4
S334,2,3,3,2,3,2
S335,3,2,2,1,2,3
S336,1,2,2,1,2,2
S337,3,3,3,2,3,3
S338,3,3,3,4,2,1
S339,2,2,1,2,3,3
S340,1,2,3,4,3,1
S341,3,2,2,2,1,2
S342,3,2,1,4,4,3
S343,4,3,3,3,3,3
S344,3,2,3,3,2,3
S345,4,2,3,3,3,1
S346,1,1,1,3,2,1
S347,2,2,4,2,2,3
S348,3,3,2,3,3,3
S349,4,2,4,4,3,4
S350,2,3,1,3,4,2
S351,4,4,4,4,4,3
S352,2,3,4,1,2,4
S353,1,2,3,1,1,2
S354,3,1,3,1,2,3
S355,3,4,4,1,2,2
S356,4,4,3,2,3,2
S357,3,2,2,4,2,3
S358,1,1,2,1,3,2
S359,3,3,3,2,3,4
S360,3,2,3,2,3,2
S361,3,2,2,4,4,3
S362,2,3,3,3,2,3
S363,3,2,3,2,1,3
S364,3,1,2,1,1,2
S365,3,4,4,4,3,3
S366,3,2,2,4,3,4
S367,3,3,1,3,3,2
S368,4,1,2,3,2,3
S369,2,2,1,3,2,2
S370,4,3,3,3,2,3
S371,2,3,4,4,4,3
S372,1,1,2,2,1,1
S373,2,3,2,1,2,2
S374,2,4,4,4,3,4
S375,2,3,2,2,2,3
S376,2,3,3,3,4,1
S377,2,1,1,1,2,1
S378,1,3,2,2,3,2
S379,4,4,3,2,1,2
S380,1,1,2,3,1,2
S381,2,3,4,4,4,3
S382,2,2,2,2,3,4
S383,1,3,1,1,2,2
S384,1,4,2,3,3,3
S385,3,3,4,2,2,4
S386,3,4,4,4,3,2
S387,2,4,2,3,2,3
S388,2,3,2,3,3,2
S389,3,1,3,3,3,2
S390,1,2,2,1,1,1
S391,1,2,3,3,3,1
S392,2,2,3,2,1,2
S393,3,1,2,4,3,3
S394,3,3,3,2,3,2
S395,2,3,4,1,3,2
S396,2,2,2,1,2,2
S397,3,2,2,2,1,2
S398,4,4,3,3,3,3
S399,3,3,4,2,2,4
S400,1,2,3,2,1,1
S401,2,3,3,3,3,3
S402,2,3,3,2,1,3
S403,1,2,2,2,1,1
S404,3,3,3,4,4,4
S405,1,1,1,3,2,2
S406,3,3,3,2,3,2
S407,3,2,3,2,2,2
S408,2,3,2,3,2,1
S409,1,2,2,2,1,1
S410,3,3,3,2,2,3
S411,4,4,3,1,2,4
S412,1,2,1,2,2,1
S413,1,2,2,3,2,1
S414,2,1,2,2,3,3
S415,1,2,2,1,2,2
S416,2,2,2,2,2,2
S417,2,3,2,3,4,3
S418,1,2,3,2,2,1
S419,2,2,3,1,1,3
S420,1,1,2,1,2,2
S421,3,2,4,3,2,2
S422,2,2,2,4,4,3
S423,1,3,2,2,1,2
S424,4,4,3,3,3,4
S425,4,4,3,3,2,3
S426,3,2,3,2,2,2
S427,1,1,1,1,2,2
S428,2,1,3,3,3,1
S429,3,3,3,3,3,4
S430,3,2,2,3,4,4
S431,2,4,4,3,3,3
S432,1,2,2,1,3,1
S433,3,3,3,1,2,3
S434,2,3,4,3,2,3
S435,3,3,4,3,2,2
S436,2,3,3,4,3,2
S437,2,4,4,3,2,2
S438,3,4,3,4,4,2
S439,4,2,3,1,2,1
S440,4,4,3,3,3,3
S441,2,2,2,2,4,3
S442,3,4,3,3,3,3
S443,3,1,2,3,2,2
S444,1,2,2,3,3,2
S445,2,3,2,2,1,2
S446,1,2,3,3,3,3
S447,3,4,4,4,4,3
S448,2,2,3,4,3,3
S449,2,3,2,2,4,2
S450,2,3,2,3,2,3
S451,1,2,2,3,4,2
S452,2,2,2,3,2,2
S453,3,2,3,2,2,3
S454,1,3,3,3,3,2
S455,2,3,4,1,1,3
S456,3,3,4,3,3,3
S457,4,3,4,3,2,3
S458,3,4,3,3,1,1
S459,3,2,1,2,2,1
S460,2,1,1,1,2,1
S461,2,1,2,2,3,1
S462,3,3,3,1,1,1
S463,4,3,4,4,3,4
S464,3,2,2,3,2,3
S465,4,2,2,1,2,2
S466,4,2,2,4,1,1
S467,1,3,3,4,3,2
S468,3,3,4,3,3,1
S469,4,3,3,3,3,3
S470,2,2,2,2,2,3
S471,3,3,3,1,2,2
S472,1,2,2,3,2,2
S473,3,3,2,2,1,3
S474,2,1,1,3,1,1
S475,1,3,3,2,2,3
S476,4,4,3,4,3,3
S477,3,2,1,1,1,1
S478,3,2,2,2,3,2
S479,1,1,3,2,2,2
S480,2,2,4,2,4,3
S481,2,2,2,1,2,2
S482,1,1,2,3,2,1
S483,2,3,3,3,2,2
S484,3,4,3,1,2,2
S485,1,2,2,4,3,2
S486,4,2,4,3,3,4
S487,3,3,3,2,3,3
S488,2,3,3,3,4,2
S489,3,2,3,2,1,2
S490,4,4,4,3,3,4
S491,2,1,3,1,2,2
S492,3,1,2,1,1,2
S493,2,2,3,3,1,2
S494,3,3,1,1,1,2
S495,2,3,3,2,2,2
S496,1,3,1,3,2,1
S497,4,3,2,3,2,4
S498,1,2,3,3,2,2
S499,2,3,3,4,2,3
S500,1,1,1,1,2,1
S501,3,2,2,2,2,2
S502,1,1,2,1,2,1
S503,3,3,4,3,4,4
S504,2,2,3,2,3,2
S505,3,4,4,3,3,3
S506,2,3,3,2,2,3
S507,4,3,3,3,3,1
S508,2,3,1,1,2,1
S509,1,3,2,2,1,2
S510,3,3,3,2,3,2
S511,3,3,2,1,2,3
S512,2,1,2,3,1,1
S513,2,1,2,1,1,1
S514,4,1,3,3,3,3
S515,3,2,3,1,1,2
S516,3,4,3,3,3,4
S517,1,1,2,2,2,1
S518,3,3,2,2,1,3
S519,1,1,2,2,1,1
S520,2,1,3,3,4,3
S521,2,2,3,1,1,2
S522,1,3,2,2,2,3
S523,2,2,3,3,3,2
S524,1,2,3,4,4,3
S525,3,2,3,1,2,4
S526,2,4,2,2,3,3
S527,1,3,2,1,1,2
S528,4,3,3,2,3,3
S529,2,3,3,2,3,3
S530,2,3,2,4,4,3
S531,3,2,3,4,2,2
S532,3,2,3,4,3,4
S533,4,4,3,4,4,3
S534,3,1,3,4,3,4
S535,2,2,3,3,2,2
S536,2,2,3,4,4,3
S537,3,1,3,4,2,2
S538,2,2,2,4,4,3
S539,1,2,2,2,1,3
S540,4,3,4,4,4,4
S541,4,3,4,4,2,4
S542,3,3,3,2,2,2
S543,3,3,4,2,4,4
S544,3,3,3,3,3,3
S545,4,4,3,4,4,3
S546,4,4,2,2,1,2
S547,2,2,2,3,3,2
S548,2,3,1,1,3,3
S549,4,1,1,1,2,3
S550,3,2,1,1,1,1
S551,2,2,4,4,4,2
S552,1,1,3,3,2,2
S553,1,1,1,3,2,2
S554,2,1,2,3,3,3
S555,3,3,4,3,4,4
S556,2,2,3,4,2,3
S557,2,3,3,3,3,1
S558,1,2,2,2,3,1
S559,2,2,4,3,4,4
S560,2,2,3,3,3,3
S561,2,2,2,4,2,2
S562,2,3,3,3,3,3
S563,1,2,3,1,1,2
S564,3,2,4,3,1,3
S565,3,3,3,3,1,2
S566,3,3,3,2,3,4
S567,2,2,2,2,3,3
S568,2,2,3,2,1,3
S569,1,3,3,3,4,1
S570,3,3,4,4,4,4
S571,3,1,2,3,2,2
S572,3,4,3,4,4,3
S573,4,3,4,2,3,3
S574,3,3,4,4,4,3
S575,3,3,4,1,2,3
S576,3,2,3,4,4,2
S577,1,1,2,1,1,1
S578,3,4,4,4,3,4
S579,1,2,2,2,1,1
S580,3,4,3,4,4,4
S581,2,1,2,2,2,1
S582,1,3,3,3,2,2
S583,2,3,3,3,2,3
S584,2,3,3,3,2,3
S585,1,2,1,3,2,2
S586,4,2,3,2,2,1
S587,3,3,3,4,3,4
S588,2,4,3,1,2,3
S589,3,2,3,3,2,2
S590,3,2,3,4,2,4
S591,1,1,1,1,3,2
S592,2,1,3,4,2,2
S593,3,3,4,1,1,4
S594,1,1,1,2,1,1
S595,3,3,1,3,2,4
S596,4,3,4,4,4,4
S597,1,2,2,3,2,3
S598,3,3,2,1,2,2
S599,3,4,3,2,2,4
S600,3,3,2,2,1,3
S601,2,1,3,3,1,2
S602,3,4,2,4,4,4
S603,2,1,1,1,1,1
S604,3,2,2,3,3,3
S605,3,1,2,2,1,2
S606,2,2,2,2,3,2
S607,3,1,2,1,2,1
S608,4,4,4,4,3,3
S609,2,2,3,3,2,2
S610,2,3,3,4,3,3
S611,3,2,2,4,3,3
S612,3,2,3,1,2,2
S613,1,3,2,4,2,2
S614,2,1,2,2,2,2
S615,2,4,3,2,2,3
S616,1,2,1,1,1,1
S617,3,3,4,3,3,3
S618,2,2,1,1,2,1
S619,4,4,4,4,3,2
S620,2,3,2,3,2,3
S621,2,3,3,2,4,3
S622,1,2,2,2,1,1
S623,1,2,4,3,3,3
S624,3,3,3,3,4,3
S625,1,3,2,2,3,3
S626,3,2,3,1,3,3
S627,1,3,3,4,2,2
S628,3,4,3,2,3,3
S629,1,1,2,1,1,2
S630,2,2,3,4,3,4
S631,2,3,3,3,2,3
S632,2,3,2,1,2,3
S633,3,3,4,3,2,3
S634,1,1,3,1,2,2
S635,3,2,3,1,1,2
S636,3,2,1,1,1,1
S637,1,1,2,1,1,1
S638,2,1,3,3,3,2
S639,1,1,2,3,3,2
S640,2,3,3,2,3,2
S641,2,3,4,4,4,3
S642,4,4,2,2,4,3
S643,2,3,2,1,2,2
S644,4,4,4,3,3,3
S645,2,1,1,2,1,1
S646,1,1,1,3,1,1
S647,2,2,2,3,3,3
S648,2,3,1,2,1,3
S649,4,3,4,3,3,4
S650,3,4,4,2,3,3
S651,4,4,4,3,4,3
S652,4,2,2,3,2,3
S653,2,2,3,2,1,3
S654,2,2,1,2,2,1
S655,3,1,3,3,1,2
S656,4,4,4,4,4,4
S657,3,4,4,1,3,3
S658,3,4,2,3,2,2
S659,3,4,4,3,3,3
S660,2,2,2,2,4,2
S661,3,4,4,4,4,3
S662,3,3,2,1,2,2
S663,3,2,4,1,2,4
S664,3,3,4,3,2,4
S665,2,2,2,3,2,3
S666,2,4,1,3,1,2
S667,2,3,3,2,3,4
S668,4,1,3,4,1,2
S669,3,3,4,4,4,4
S670,3,2,2,4,3,2
S671,3,3,3,4,3,2
S672,2,2,3,3,2,3
S673,3,2,2,3,2,1
S674,2,4,3,3,2,3
S675,3,2,1,2,2,3
S676,4,3,3,4,4,3
S677,3,2,3,1,1,2
S678,2,2,2,2,4,2
S679,4,2,4,2,2,3
S680,2,2,1,2,1,2
S681,2,4,3,1,2,4
S682,1,1,1,1,2,1
S683,4,4,3,2,1,2
S684,3,3,3,2,3,2
S685,2,3,3,2,2,2
S686,2,3,3,4,2,3
S687,3,4,4,3,3,3
S688,4,4,4,2,3,3
S689,3,2,2,2,2,4
S690,2,3,3,3,2,3
S691,3,2,3,1,3,1
S692,3,2,4,2,1,3
S693,3,3,3,4,4,4
S694,1,1,1,1,1,1
S695,2,2,1,2,1,2
S696,3,3,4,2,4,4
S697,4,2,4,4,4,3
S698,4,3,2,3,4,4
S699,2,2,3,1,1,2
S700,4,4,4,3,3,4
S701,2,3,1,3,3,3
S702,2,3,4,1,2,4
S703,3,2,2,4,3,3
S704,3,3,3,1,2,2
S705,1,2,3,4,2,2
S706,2,2,3,2,1,3
S707,3,3,2,2,2,2
S708,4,4,3,3,4,4
S709,3,3,1,3,3,2
S710,4,1,3,2,3,2
S711,4,2,2,3,3,4
S712,2,2,3,4,4,2
S713,4,2,3,2,2,3
S714,2,1,2,2,1,2
S715,4,4,4,3,2,4
S716,4,3,2,2,1,2
S717,4,3,4,4,4,4
S718,1,2,3,3,3,4
S719,2,3,4,4,3,3
S720,4,3,3,2,2,2
S721,4,3,4,4,3,2
S722,4,4,3,4,2,3
S723,2,1,2,1,2,1
S724,4,4,4,2,3,4
S725,4,4,4,4,4,4
S726,1,2,1,1,1,3
S727,2,4,3,2,1,1
S728,3,2,4,4,4,3
S729,2,2,3,4,4,2
S730,3,3,3,2,3,3
S731,1,1,2,1,1,2
S732,2,4,3,3,2,3
S733,1,1,2,3,1,1
S734,3,2,3,3,2,2
S735,2,2,3,3,2,2
S736,2,3,3,4,3,3
S737,3,3,3,2,2,2
S738,2,2,2,2,1,1
S739,3,4,2,1,2,3
S740,3,1,4,3,2,3
S741,3,4,3,3,3,4
S742,2,3,3,4,3,4
S743,2,2,3,2,1,3
S744,4,3,4,4,3,3
S745,1,3,2,2,3,3
S746,3,4,4,4,4,2
S747,2,1,3,2,1,2
S748,2,3,2,1,2,1
S749,1,2,2,3,1,2
S750,2,3,4,2,2,3
S751,3,3,2,4,3,1
S752,3,3,4,3,2,3
S753,2,2,3,4,4,2
S754,4,3,4,1,2,2
S755,3,2,3,3,2,3
S756,1,1,2,2,1,2
S757,4,4,4,3,4,3
S758,4,4,3,2,2,3
S759,2,2,2,2,4,2
S760,2,2,3,4,3,2
S761,4,3,4,3,3,4
S762,1,2,1,2,1,2
S763,3,4,4,3,3,4
S764,2,2,2,4,4,2
S765,1,2,2,2,1,2
S766,1,3,3,1,1,1
S767,2,3,3,3,2,2
S768,4,4,4,3,3,4
S769,3,2,3,4,3,3
S770,1,1,3,1,1,2
S771,2,2,2,4,3,3
S772,1,3,1,2,1,1
S773,2,2,3,2,2,4
S774,4,3,2,1,2,3
S775,4,3,3,4,3,2
S776,4,3,1,4,2,2
S777,1,1,2,1,2,2
S778,2,2,3,4,2,2
S779,2,4,4,2,2,3
S780,2,3,3,3,3,3
S781,1,1,1,1,1,1
S782,1,1,1,1,1,2
S783,3,2,2,3,2,4
S784,4,1,2,3,2,4
S785,3,4,2,2,3,2
S786,3,3,2,3,3,2
S787,3,4,4,3,4,4
S788,2,1,2,1,1,2
S789,2,2,3,3,2,3
S790,2,4,3,3,3,1
S791,3,2,1,2,4,2
S792,1,2,3,1,1,3
S793,2,2,2,4,3,3
S794,1,3,2,2,1,2
S795,4,4,3,2,3,3
S796,3,3,3,2,2,2
S797,3,3,4,3,1,3
S798,4,3,3,3,1,2
S799,3,3,3,2,1,3
S800,4,2,3,2,2,3
S801,3,4,2,4,3,3
S802,3,4,4,3,2,4
S803,4,4,4,3,2,3
S804,4,3,3,2,2,4
S805,3,3,3,2,2,3
S806,2,1,2,2,3,1
S807,4,4,3,2,3,2
S808,1,2,2,3,4,2
S809,2,1,3,2,2,2
S810,4,4,4,3,4,3
S811,3,1,2,2,4,2
S812,3,2,3,1,3,3
S813,1,2,1,1,1,1
S814,4,4,4,2,1,3
S815,3,2,3,3,4,2
S816,3,2,1,4,1,3
S817,3,4,4,1,1,2
S818,3,4,3,4,4,3
S819,2,2,2,1,1,2
S820,2,2,1,1,2,3
S821,2,3,2,2,3,3
S822,3,1,1,3,1,3
S823,1,2,3,2,2,1
S824,2,1,2,3,2,2
S825,4,3,3,3,4,4
S826,3,4,4,1,1,3
S827,2,2,1,1,1,2
S828,2,3,2,4,3,3
S829,3,3,3,3,2,2
S830,3,2,4,3,1,2
S831,2,3,2,2,3,3
S832,2,4,3,3,3,3
S833,2,2,3,2,2,3
S834,2,3,2,2,2,3
S835,1,2,2,1,2,2
S836,3,2,3,1,2,2
S837,2,1,2,2,2,2
S838,3,2,3,3,2,2
S839,4,3,4,3,1,3
S840,3,2,1,2,2,2
S841,2,1,2,1,1,1
S842,4,3,4,3,3,4
S843,1,1,1,1,1,1
S844,4,3,4,3,2,4
S845,1,1,2,2,3,1
S846,2,2,3,4,4,2
S847,2,3,3,2,2,2
S848,4,1,2,2,3,2
S849,4,4,4,4,4,3
S850,2,2,4,2,1,3
S851,2,2,2,1,1,1
S852,3,1,1,3,2,2
S853,4,4,4,4,4,4
S854,1,2,3,4,4,2
S855,4,3,4,3,2,4
S856,1,1,3,1,1,1
S857,1,3,3,2,1,1
S858,4,3,1,4,4,1
S859,3,2,4,3,2,3
S860,3,2,2,2,3,2
S861,2,2,4,4,2,2
S862,2,3,4,3,3,3
S863,1,1,1,1,1,2
S864,1,2,2,1,1,3
S865,2,2,3,4,3,2
S866,1,1,1,1,1,1
S867,2,1,3,2,4,2
S868,2,2,3,3,3,1
S869,2,2,3,1,3,2
S870,3,2,3,1,1,3
S871,4,3,3,1,3,3
S872,2,3,1,2,3,2
S873,3,1,2,3,4,3
S874,2,2,2,1,4,2
S875,3,2,2,3,1,2
S876,4,4,3,2,2,2
S877,2,3,2,2,3,3
S878,1,2,2,2,3,2
S879,1,4,2,2,3,2
S880,2,3,2,2,3,3
S881,3,2,4,2,3,1
S882,3,2,4,4,3,2
S883,3,4,4,3,3,3
S884,1,2,2,3,3,2
S885,2,1,2,2,2,2
S886,2,2,3,1,3,3
S887,1,3,2,1,1,2
S888,1,2,1,1,3,2
S889,1,1,2,1,2,3
S890,3,4,3,1,3,3
S891,1,1,1,1,1,1
S892,3,3,4,3,3,4
S893,3,2,4,2,3,2
S894,2,1,2,2,2,1
S895,4,4,4,4,4,4
S896,3,3,3,1,3,2
S897,2,3,2,3,1,2
S898,3,4,3,3,4,4
S899,4,3,4,4,4,3
S900,4,3,3,2,3,4
S901,2,1,3,1,1,1
S902,2,2,2,3,2,3
S903,4,4,4,2,2,2
S904,4,3,4,3,2,3
S905,3,3,3,3,2,2
S906,3,4,3,2,4,4
S907,3,3,2,4,3,3
S908,3,2,1,1,1,1
S909,1,1,2,1,1,3
S910,1,2,1,1,2,2
S911,1,2,1,2,2,1
S912,2,1,1,1,1,2
S913,2,3,2,4,3,3
S914,4,4,4,2,4,3
S915,1,4,1,3,2,4
S916,2,3,1,2,2,3
S917,2,3,4,4,3,2
S918,4,4,4,2,2,2
S919,3,3,4,3,2,3
S920,2,3,4,3,1,4
S921,3,3,3,2,2,3
S922,3,4,3,4,3,3
S923,3,2,3,1,3,3
S924,1,4,2,2,3,1
S925,2,1,2,3,3,2
S926,3,3,3,1,2,3
S927,2,2,2,4,3,3
S928,1,3,2,3,2,2
